Year,Crime Type,States/UTs,Total # FIR,Total # Final Report,FR Non-Cognizable,FR False,Mistake of Fact / Law / Civil Dispute,True but insufficient evidence,Cases Abated,Total # Charge Sheeted,Total # Cases Disposed Off by Police
2020,(IPC + SLL),Sikkim,675,154,2,0,3,128,21,381,537
2020,(IPC + SLL),Tamil Nadu,1377681,38626,9,456,11774,24041,2346,557428,596295
2020,(IPC + SLL),Telangana,147504,23984,0,4330,4747,13731,1176,125200,149657
2020,(IPC + SLL),Tripura,4653,1465,12,71,558,822,2,3708,5174
2020,(IPC + SLL),Uttar Pradesh,657925,111523,1647,4228,11325,90100,4223,550386,662034
2020,(IPC + SLL),Uttarakhand,57332,3092,52,133,25,2827,55,51248,54341
2020,(IPC + SLL),West Bengal,182367,16861,50,580,6741,9481,9,155734,177025
2020,(IPC + SLL),A&N Islands,2542,59,1,1,17,40,0,2619,2679
2020,(IPC + SLL),Chandigarh,3254,1011,0,0,150,860,1,2052,3066
2020,(IPC + SLL),"D&N Haveli and
 Daman & Diu",533,145,1,0,24,111,9,450,595
2020,(IPC + SLL),Delhi,266070,181622,0,0,36989,144624,9,84273,266035
2020,(IPC + SLL),Jammu & Kashmir,28911,3907,0,1848,6,2053,0,17674,21583
2020,(IPC + SLL),Ladakh,403,46,0,6,5,35,0,342,388
2020,(IPC + SLL),Lakshadweep,147,6,0,0,3,3,0,32,38
2020,(IPC + SLL),Puducherry,7940,3151,0,0,13,3107,31,4786,7937
2019,IPC+SLL,Andhra Pradesh,145751,15974,46,3913,2722,8394,899,116056,133390
2019,IPC+SLL,Arunachal Pradesh,2877,831,0,28,87,711,5,1122,1954
2019,IPC+SLL,Assam,132783,64175,205,5012,12180,43262,3516,61220,125416
2019,IPC+SLL,Bihar,269109,61263,5376,9985,13997,31905,0,191047,252311
2019,IPC+SLL,Chhattisgarh,96561,12071,378,1766,640,9287,0,82973,95112
2019,IPC+SLL,Goa,3727,865,8,1,177,646,33,3169,4035
2019,IPC+SLL,Gujarat,431066,17109,21,178,792,14893,1225,419447,436607
2019,IPC+SLL,Haryana,166336,111848,0,20221,18,91542,67,68999,180849
2019,IPC+SLL,Himachal Pradesh,19924,3172,2,1122,264,1679,105,17543,20716
2019,IPC+SLL,Jammu & Kashmir,25408,6736,0,3128,13,3595,0,20542,27278
2019,IPC+SLL,Jharkhand,62206,18864,567,1255,4042,12585,415,30122,48989
2019,IPC+SLL,Karnataka,163691,27104,1,7561,1839,17185,518,121843,149977
2019,IPC+SLL,Kerala,453083,9143,4,2299,1927,4826,87,441322,450982
2019,IPC+SLL,Madhya Pradesh,395619,42589,155,3819,3067,35534,14,350099,392748
2019,IPC+SLL,Maharashtra,509433,121145,1787,2375,12043,102606,2334,391741,513302
2019,IPC+SLL,Manipur,3661,4253,75,20,85,4068,5,862,5115
2019,IPC+SLL,Meghalaya,3897,4421,0,9,112,4277,23,2752,7174
2019,IPC+SLL,Mizoram,2880,520,0,0,0,520,0,1926,2449
2019,IPC+SLL,Nagaland,1661,493,1,1,5,485,1,1126,1621
2019,IPC+SLL,Odisha,121525,17055,3,1589,9919,5458,86,101166,118221
2019,IPC+SLL,Punjab,72855,15850,0,4155,1972,9695,28,53030,68882
2019,IPC+SLL,Rajasthan,304394,113183,335,42607,24374,45778,89,182441,295714
2019,IPC+SLL,Sikkim,821,244,0,1,7,222,14,468,718
2019,IPC+SLL,Tamil Nadu,455094,21521,0,240,8066,12303,912,381089,403217
2019,IPC+SLL,Telangana,131254,23845,0,4460,4336,13763,1286,107129,132621
2019,IPC+SLL,Tripura,5988,1666,24,80,675,887,0,3829,5495
2019,IPC+SLL,Uttar Pradesh,628578,143949,3051,12015,19736,108742,405,489654,633955
2019,IPC+SLL,Uttarakhand,28268,4970,35,407,74,3929,525,22762,27733
2019,IPC+SLL,West Bengal,188063,26776,103,670,7120,18883,0,167936,199681
2019,IPC+SLL,A&N Islands,4034,75,2,1,29,43,0,3834,3909
2019,IPC+SLL,Chandigarh,4518,1276,0,4,274,998,0,3085,4361
2019,IPC+SLL,D&N Haveli,290,50,1,0,10,38,1,274,324
2019,IPC+SLL,Daman & Diu,370,88,0,0,29,48,11,203,291
2019,IPC+SLL,Delhi,316261,260227,0,0,34716,222046,3465,67177,327437
2019,IPC+SLL,Lakshadweep,182,19,0,5,0,14,0,23,42
2019,IPC+SLL,Puducherry,4004,2,0,0,0,2,0,3460,3462
2018,IPC+SLL,Andhra Pradesh,144703,23846,291,4647,3512,14420,976,129627,154141
2018,IPC+SLL,Arunachal Pradesh,2817,1064,0,45,107,812,100,1508,2572
2018,IPC+SLL,Assam,120572,79203,169,6326,14237,52832,5639,57770,137098
2018,IPC+SLL,Bihar,262815,51361,5236,3705,10215,32205,0,197906,249276
2018,IPC+SLL,Chhattisgarh,98233,11515,391,1295,840,8989,0,85496,97021
2018,IPC+SLL,Goa,3884,1235,10,7,272,913,33,3389,4642
2018,IPC+SLL,Gujarat,393194,19871,29,208,1065,17241,1328,373481,393381
2018,IPC+SLL,Haryana,191229,123983,0,18951,31,104934,67,74519,198519
2018,IPC+SLL,Himachal Pradesh,19594,3464,0,1161,519,1654,130,16076,19540
2018,IPC+SLL,Jammu & Kashmir,27276,6627,0,2882,7,3738,0,19458,26092
2018,IPC+SLL,Jharkhand,55664,18932,472,621,3506,14136,197,32071,51007
2018,IPC+SLL,Karnataka,163416,35070,44,9112,2427,22981,506,137798,173890
2018,IPC+SLL,Kerala,512167,11066,6,3203,2059,5746,52,520814,532076
2018,IPC+SLL,Madhya Pradesh,405129,44651,2799,7412,2880,31559,1,361015,405804
